POLE_NAME,LON,LAT,CAMERA_ID,LOCATION_ID,THING_ID,FEATUREOFINTEREST_ID
AC-BA-12,,,,,,
AC-BA-12-B,,,,,,
CM1-LB-007,,,,,,
AC-BA-12-A,,,,,,
AC-JJ-04-B,,,,,,
AC-JJ-14,,,,,,
AC-NC-42-B,,,,,,
AC-SM-08-A,,,,,,
CM1-BS-001,,,,,,
CM1-BS-008,,,,,,
CM1-BS-010,,,,,,
CM1-BS-033,,,,,,
CM1-BS-080,,,,,,
CM1-HK-081,,,,,,
CM1-MR-154,,,,,,
CM1-PW-076,,,,,,
CM1-PY-097,,,,,,
CM1-PY-131,,,,,,
CM1-SS-028,,,,,,
CM1-WL-011,,,,,,
CM1-WL-021,,,,,,
CM2-BP-038,,,,,,
CM2-KS-012,,,,,,
CM2-KS-132,,,,,,
CM2-TC-012,,,,,,
CM2-TC-099,,,,,,
CM1-MR-033,,,,,,
CM1-MR-123,,,,,,
CM1-NC-009,,,,,,
CM1-PY-044,,,,,,
CM2-BE-142,,,,,,
CM2-BP-073,,,,,,
CM2-BT-066,,,,,,
CM3-NC-122,,,,,,
CM4-HK-001,,,,,,
CM5-BS-01-01,,,,,,
CM2-TN-100,,,,,,
CM2-TN-103,,,,,,
CM3-KP-223,,,,,,
CM3-LP-024,,,,,,
CM3-NK-014,,,,,,
CM4-WL-002,,,,,,
CM3-BE-044,,,,,,
CM3-KP-012,,,,,,
CM3-LP-010,,,,,,
CM3-LP-025,,,,,,
CM3-LP-039,,,,,,
AC-BA-12,100.590685,13.879326,,,,
AC-BA-12,100.590685,13.879326,,,,
AC-BA-12,100.590685,13.879326,,,,
AC-BA-12,100.590685,13.879326,,,,
AC-BA-12-A,100.590685,13.879326,,,,
AC-BA-12-A,100.590685,13.879326,,,,
AC-BA-12-A,100.590685,13.879326,,,,
AC-BA-12-A,100.590685,13.879326,,,,
AC-BA-12-B,100.590685,13.879326,,,,
AC-BA-12-B,100.590685,13.879326,,,,
AC-BA-12-B,100.590685,13.879326,,,,
AC-BA-12-B,100.590685,13.879326,,,,
AC-JJ-04-B,100.559969,13.810737,,,,
AC-JJ-04-B,100.559969,13.810737,,,,
AC-JJ-04-B,100.559969,13.810737,,,,
AC-JJ-04-B,100.559969,13.810737,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-JJ-14,100.561480,13.817887,,,,
AC-NC-42-B,100.8773,13.85197,,,,
